variavel,comunalidade
V1,0.8907259281915803
V2,0.8943944987366188
V3,0.9043279646883736
V4,0.7245446881211067
V5,0.7733693419288409
V6,0.6003713319300681
V7,0.6594429072819687
V8,0.6005204860116716
