ID,Eu estou satisfeito com o serviço entregue pelo transporte público ,O serviço transporte Público correspondem às minhas expectativas,Considero que as minhas necessidades de deslocamento estão sendo atendidos pelo transporte público,Considero que o transporte público tem um bom custo benefício ,Considero que sou recompensado por usar o transporte público,Cartões,Aplicativos de celular,Qr Code,Bilhete impresso
44,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Difícil,Muito difícil,Muito Fácil
45,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Fácil ,Difícil,Muito Fácil
46,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito Fácil
47,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
48,Discordo totalmente,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Neutro,Neutro
49,Discordo,Discordo,Discordo,Discordo,Discordo,Fácil ,Fácil ,Fácil ,Fácil 
50,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
51,Discordo totalmente,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Muito Fácil,Difícil,Muito difícil,Neutro
52,Neutro,Neutro,Neutro,Neutro,Neutro,Muito Fácil,Difícil,Muito difícil,Neutro
53,Discordo,Discordo,Concordo,Discordo,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
54,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Fácil ,Fácil ,Muito difícil,Neutro
55,Discordo totalmente,Discordo,Discordo,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
56,Discordo,Discordo,Discordo,Discordo,Discordo,Fácil ,Fácil ,Difícil,Neutro
57,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito difícil,Muito difícil,Muito difícil
58,Discordo,Discordo,Discordo,Discordo,Discordo,Fácil ,Difícil,Difícil,Difícil
59,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Difícil,Muito difícil
60,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Neutro,Neutro
61,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Fácil ,Difícil,Neutro
62,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
63,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Difícil,Fácil 
64,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
65,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
66,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Difícil,Muito difícil,Fácil 
67,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
68,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Fácil ,Muito difícil,Muito difícil
69,Discordo,Discordo,Concordo totalmente,Discordo,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
70,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Fácil 
71,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Muito Fácil,Muito difícil,Muito difícil,Muito Fácil
72,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
73,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
74,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
