Fator,Variáveis,Número de Variáveis,Alfa de Cronbach,Interpretação
Fator 2,"Preço da passagem, Tempo total de viagem  , Frequência com que os veículos passam ao longo dia , Velocidade dos veículos  , Segurança dentro dos veículos e nos pontos de ônibus/estações , Confiabilidade nos horários ",6,0.8921376296077608,Bom
Fator 1,"Espaço disponível é suficiente para os passageiros sentados ou em pé, Temperatura interna , Informação de linhas, horários e itinerários  , Locais atendidos pelo transporte público , Facilidade de entrada e saída dos veículos e/ou estações e pontos de ônibus  , Limpeza dentro do veículo e nos pontos de ônibus e estações",6,0.9562304181275061,Excelente
