Fator,Variáveis,Número de Variáveis,Alfa de Cronbach,Interpretação
Fator 2,"Eu gostaria de ganhar pontos ou créditos para trocar por produtos e serviços, Eu gostaria de poder usar qualquer veículo do transporte público de forma ilimitada, Eu gostaria de receber um valor de volta por quilômetro viajado no transporte público ",3,0.928176601683179,Excelente
Fator 1,"Eu gostaria de poder realizar uma compra antecipada por passagens ilimitadas no transporte público (pré-pago), Eu gostaria de poder realizar um pagamento depois de usar passagens ilimitadas no transporte público (pós-pago), Eu gostaria de ter a opção de pagar um valor diário por passagens ilimitadas no transporte público, Eu gostaria de ter a opção de pagar um valor mensal por passagens ilimitadas no transporte público, Eu gostaria de ter a opção de pagar um valor anual por passagens ilimitadas no transporte público, Eu gostaria de receber desconto na passagem por viajar em horários fora de pico",6,0.977574108554519,Excelente
