,Fator1,Fator2
V1,0.8918571447636182,0.308734127568798
V2,0.9098350610847343,0.258059412456815
V3,0.9137837455606268,0.2633006476208619
V4,0.7735173011586105,0.3552684519196803
V5,0.833985619218857,0.27899342082741024
V6,0.37527219770713954,0.6778953529551015
V7,0.2668520881156208,0.766963408742752
V8,0.1467874541699611,0.7609033639759869
