ID,Eu estou satisfeito com o serviço entregue pelo transporte público ,O serviço transporte Público correspondem às minhas expectativas,Considero que as minhas necessidades de deslocamento estão sendo atendidos pelo transporte público,Considero que o transporte público tem um bom custo benefício ,Considero que sou recompensado por usar o transporte público,Cartões,Aplicativos de celular,Qr Code,Bilhete impresso
153,1,1,1,1,1,2,2,2,2
154,5,5,5,5,5,2,3,3,2
155,1,1,1,1,1,2,2,2,2
156,1,1,1,1,1,2,2,3,3
157,4,2,5,2,1,2,1,1,4
158,1,1,1,1,1,2,2,3,3
159,1,1,1,1,1,2,2,2,2
160,2,2,3,2,2,0,0,0,0
161,1,1,1,1,1,2,2,3,3
162,1,1,1,1,1,2,2,2,2
163,1,1,1,1,1,0,4,0,4
164,1,1,1,1,1,2,2,2,2
165,1,1,1,1,1,2,2,3,2
166,1,1,1,1,1,2,2,3,4
167,1,1,3,3,1,1,0,0,0
168,5,5,5,5,5,2,2,3,2
169,1,1,1,1,1,2,3,3,3
170,1,1,1,1,1,2,2,0,0
171,1,1,1,1,1,2,3,3,2
172,1,1,1,1,1,2,2,2,2
173,1,1,1,1,1,2,2,2,2
174,1,1,1,1,1,2,2,2,2
175,1,1,1,1,1,2,3,3,3
176,1,1,1,1,1,1,1,1,1
177,2,2,2,2,2,0,0,0,0
178,1,1,1,2,1,1,1,1,1
179,5,5,3,5,5,2,2,2,3
180,1,3,4,2,3,0,3,3,3
181,2,2,3,3,1,2,4,4,4
182,2,3,2,2,1,1,1,1,1
183,1,1,2,1,1,2,2,2,4
184,4,4,4,3,2,1,1,4,4
185,2,3,4,3,4,1,1,1,1
186,2,2,2,2,1,1,1,1,4
187,1,1,1,2,1,1,1,1,1
188,4,2,2,4,1,1,4,1,0
189,1,1,1,1,1,4,4,4,4
190,2,2,4,2,1,0,4,1,4
191,2,2,3,1,3,2,2,1,2
192,1,1,2,1,1,0,3,3,3
193,1,1,1,1,1,2,0,1,2
194,2,1,2,1,1,4,4,4,4
195,2,2,4,3,4,2,4,4,2
196,1,1,3,1,1,0,0,0,2
197,1,1,1,1,1,2,2,2,2
198,1,1,4,2,1,1,4,4,4
199,1,1,1,1,1,1,1,1,1
200,2,2,2,1,1,1,2,0,2
201,2,1,2,2,1,1,4,0,0
202,4,4,4,2,1,1,1,1,0
203,1,1,1,1,1,2,2,2,2
204,3,3,4,4,2,2,4,4,1
205,2,2,1,2,1,1,1,1,1
206,1,1,1,1,1,2,3,3,3
207,2,4,4,4,3,1,1,1,3
208,1,1,1,1,1,2,2,3,2
209,2,2,4,2,2,2,3,3,3
210,1,1,1,1,1,2,1,0,4
211,3,2,2,2,2,2,1,0,4
212,2,1,4,1,1,2,1,1,4
213,2,4,4,1,2,2,3,3,1
214,2,3,2,3,4,1,1,0,3
215,1,1,1,1,1,0,3,3,3
216,3,3,2,4,4,0,4,0,1
217,1,1,1,1,1,2,2,0,2
218,1,1,1,1,1,2,2,2,2
219,1,1,1,1,1,2,1,3,0
220,5,5,5,5,5,2,3,3,3
221,1,1,1,1,1,2,2,2,2
222,1,1,1,1,1,2,2,2,2
223,1,1,1,1,1,2,2,2,2
224,1,1,1,1,1,2,2,3,4
225,1,1,1,1,1,2,1,0,2
226,1,1,1,1,1,2,0,0,0
227,1,1,1,1,1,2,2,3,4
228,5,5,5,5,5,2,3,3,2
229,1,1,1,1,1,2,2,2,2
230,1,1,1,1,1,2,2,2,2
231,1,1,1,1,1,2,3,3,2
232,1,1,1,1,1,2,2,3,4
233,1,1,1,1,1,2,2,2,2
234,1,1,1,1,1,2,3,3,3
235,1,1,1,1,1,2,2,3,3
236,1,1,1,1,1,2,3,3,3
237,1,1,1,1,1,2,2,3,3
238,1,1,1,1,1,2,3,3,3
239,1,1,1,1,1,2,3,3,3
240,1,1,1,1,1,2,2,2,2
241,1,1,1,1,1,2,2,3,3
242,1,1,1,1,1,2,3,3,3
243,1,1,1,1,1,2,1,3,2
244,1,1,1,1,1,2,2,2,2
245,1,1,1,1,1,2,2,3,2
246,1,1,1,1,1,2,3,3,3
247,1,1,1,1,1,2,3,3,3
248,1,1,1,1,1,1,3,3,2
249,1,1,1,1,1,2,2,3,2
250,1,1,1,1,1,2,2,2,2
251,1,1,1,1,1,2,2,2,2
252,1,1,1,1,1,2,2,3,3
253,1,1,1,1,1,2,2,3,3
254,5,5,5,5,5,2,3,3,2
255,1,1,1,1,1,2,3,3,3
256,1,1,1,1,1,2,3,3,2
257,1,1,1,1,1,2,3,3,3
258,1,1,1,1,1,1,2,3,3
259,1,1,1,1,1,2,2,3,3
260,1,1,1,1,1,2,3,3,3
261,1,1,1,1,1,2,2,3,2
262,1,1,1,1,1,2,3,3,3
263,1,1,1,1,1,2,2,2,2
264,1,1,1,1,1,2,3,3,3
265,1,1,1,1,1,2,2,3,3
266,4,4,4,1,1,2,3,3,2
267,1,1,1,1,1,2,2,3,3
268,1,1,1,1,1,2,2,3,3
269,1,1,1,1,1,2,0,3,1
270,1,1,1,1,1,2,2,2,2
271,1,1,1,1,1,2,3,3,2
272,1,1,1,1,1,2,2,3,2
273,1,1,1,1,1,2,2,2,2
274,1,1,1,1,1,2,2,3,3
275,1,1,1,1,1,2,2,3,2
276,1,1,1,1,1,2,2,2,2
277,1,1,1,1,1,2,2,2,2
278,1,1,1,1,1,2,1,3,4
279,2,2,2,2,1,2,3,3,3
280,1,1,1,1,1,2,1,3,2
281,1,1,1,1,1,2,1,3,2
282,1,1,1,1,1,2,2,2,2
283,1,1,1,1,1,2,3,3,3
284,1,1,1,1,1,2,2,3,3
285,2,2,2,2,2,1,1,3,1
286,1,1,1,1,1,2,2,2,2
287,1,1,1,1,1,2,2,3,2
288,1,1,1,1,1,2,1,0,1
289,5,2,5,2,1,2,3,3,2
290,1,1,4,1,1,2,3,3,3
291,1,1,1,1,1,2,2,2,2
292,1,1,1,1,1,2,1,3,1
293,1,1,1,1,1,1,0,3,2
294,1,1,1,1,1,2,1,3,2
295,1,1,1,1,1,2,2,3,2
296,1,1,1,1,1,3,3,3,3
297,1,1,4,1,1,2,3,3,2
298,1,1,1,1,1,2,3,3,3
299,4,4,4,4,4,1,3,3,2
300,3,3,3,3,3,2,3,3,2
301,4,4,4,4,4,2,3,3,2
302,1,1,1,1,1,2,2,3,2
303,1,1,1,1,1,2,2,3,2
304,1,1,1,1,1,2,2,0,4
305,1,1,1,1,1,2,2,3,3
306,1,1,1,1,1,2,2,3,2
307,1,1,1,1,1,2,2,3,3
308,1,1,4,1,1,2,2,2,2
309,2,2,4,2,1,2,3,3,2
310,1,1,1,1,1,2,2,3,2
311,1,1,1,1,1,2,1,3,2
312,1,1,1,1,1,2,3,3,3
313,1,1,1,1,1,2,3,3,3
314,1,1,1,1,1,2,3,3,1
315,1,1,1,1,1,2,2,3,2
316,1,1,1,1,1,2,2,2,2
317,1,1,1,1,1,2,2,3,2
318,1,1,4,1,1,2,1,3,4
319,1,1,1,1,1,2,2,1,2
320,1,1,1,1,1,2,2,2,2
321,1,1,1,1,1,2,2,2,2
322,1,1,1,1,1,2,2,2,2
323,1,1,1,1,1,2,2,2,2
324,1,1,1,1,1,2,2,2,2
325,1,1,1,1,1,2,2,2,2
326,1,1,1,1,1,2,2,2,2
327,1,1,1,1,1,2,2,2,2
328,1,1,1,1,1,2,2,2,2
329,1,1,5,1,1,2,2,2,2
330,1,1,1,1,1,2,2,2,2
331,1,1,1,1,1,2,3,3,2
332,1,1,5,1,1,2,3,3,3
333,1,1,1,1,1,3,3,3,3
334,4,4,5,2,4,2,3,3,2
335,1,1,1,1,1,2,2,2,2
336,1,1,1,1,1,2,2,2,2
337,1,1,1,1,1,2,3,3,4
338,1,1,1,1,1,2,3,3,3
339,1,1,1,1,1,2,2,2,2
340,1,1,1,1,1,2,2,2,2
341,1,1,1,1,1,2,2,2,2
342,1,1,1,1,1,2,2,2,2
343,1,1,1,1,1,2,2,2,2
344,1,1,1,1,1,2,2,3,3
345,1,1,1,1,1,2,2,2,2
346,1,1,1,1,1,2,2,3,3
347,1,1,1,1,1,2,2,2,2
348,1,1,1,1,1,2,3,3,3
349,1,1,1,1,1,2,3,3,3
350,1,1,1,1,1,2,2,2,2
351,1,1,1,1,1,2,2,3,2
352,1,1,1,1,1,2,2,2,2
353,1,1,4,1,1,2,3,3,3
354,1,1,1,1,1,2,2,3,4
355,1,1,1,1,1,2,3,3,2
356,1,1,1,1,1,2,2,2,2
357,1,1,1,1,1,2,2,2,2
358,1,1,1,1,1,2,2,2,2
