,V1,V2,V3,V4,V5,V6,V7,V8
count,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0
mean,2.0839260312944523,2.2290184921763867,2.120910384068279,1.8349928876244666,1.9772403982930298,1.4423897581792318,1.3769559032716927,1.3456614509246088
std,1.5368449032446634,1.6854192976999112,1.5719780022429997,1.3305843322358442,1.4654792427009349,0.9163105642473875,0.8192021391429316,0.7744166699319864
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75%,4.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0
max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
