coluna,mediana,media,percentil_25,percentil_50,percentil_75,percentil_90,percentil_95,prop_até_1.00
Eu aceitaria participar se ganhasse 10 pontos para trocar por produtos e serviços por utilizar o transporte público,1.0,1.2048364153627311,1.0,1.0,1.0,2.0,4.0,89.61593172119487
Eu aceitaria participar se ganhasse 10 pontos para trocar por produtos e serviços por utilizar o transporte público_bdtp,1.0,1.2062588904694167,1.0,1.0,1.0,2.0,4.0,89.61593172119487
