ID,Preço da passagem,Espaço disponível é suficiente para os passageiros sentados ou em pé,Temperatura interna ,Tempo total de viagem  ,Frequência com que os veículos passam ao longo dia ,Velocidade dos veículos  ,Segurança dentro dos veículos e nos pontos de ônibus/estações ,"Informação de linhas, horários e itinerários  ",Locais atendidos pelo transporte público ,Confiabilidade nos horários ,Facilidade de entrada e saída dos veículos e/ou estações e pontos de ônibus  ,Limpeza dentro do veículo e nos pontos de ônibus e estações
110,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
111,Muito insatisfeito,Insatisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Insatisfeito,Satisfeito,Insatisfeito
112,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
113,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
114,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito,Neutro,Neutro,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito
115,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Satisfeito,Satisfeito
116,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
117,Muito insatisfeito,Neutro,Muito satisfeito,Muito insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Neutro,Muito satisfeito,Neutro
118,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
119,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
120,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito
121,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
122,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
123,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito
124,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
125,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito
126,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
127,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
128,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Insatisfeito,Muito satisfeito,Satisfeito
129,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
130,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito
131,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
132,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Insatisfeito,Satisfeito,Satisfeito
133,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
134,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
135,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
136,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
137,Muito insatisfeito,Insatisfeito,Satisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Neutro,Insatisfeito,Satisfeito,Neutro
138,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
139,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
140,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
141,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
142,Muito insatisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Insatisfeito,Muito satisfeito,Neutro
143,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
144,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Insatisfeito,Muito satisfeito,Neutro
145,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
146,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
147,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
148,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
149,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
150,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
151,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
152,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
153,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
154,Muito insatisfeito,Satisfeito,Muito satisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Insatisfeito,Muito satisfeito,Muito satisfeito
155,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
156,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
157,Muito insatisfeito,Insatisfeito,Satisfeito,Neutro,Neutro,Satisfeito,Muito insatisfeito,Insatisfeito,Satisfeito,Neutro,Satisfeito,Satisfeito
158,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
159,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
160,Muito insatisfeito,Neutro,Neutro,Insatisfeito,Insatisfeito,Satisfeito,Neutro,Insatisfeito,Insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito
161,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
162,Muito insatisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Neutro,Satisfeito,Satisfeito
163,Insatisfeito,Insatisfeito,Satisfeito,Neutro,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Neutro,Insatisfeito,Insatisfeito,Muito insatisfeito
164,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
165,Muito insatisfeito,Neutro,Satisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Neutro,Satisfeito,Muito satisfeito
166,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
167,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Neutro,Neutro,Neutro,Muito insatisfeito,Neutro,Satisfeito,Neutro
168,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
169,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
170,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
171,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Neutro,Muito satisfeito,Muito satisfeito
172,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
173,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Insatisfeito,Muito satisfeito,Muito insatisfeito
174,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
175,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
176,Insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Neutro,Neutro
177,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
178,Neutro,Insatisfeito,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro
179,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Neutro,Insatisfeito,Satisfeito,Neutro,Insatisfeito,Muito insatisfeito,Muito insatisfeito
180,Neutro,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Neutro,Insatisfeito,Satisfeito,Muito satisfeito,Neutro,Muito insatisfeito
181,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Neutro,Neutro,Muito insatisfeito,Neutro,Muito insatisfeito,Insatisfeito,Neutro,Neutro
182,Insatisfeito,Satisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Satisfeito,Neutro,Neutro,Satisfeito,Satisfeito,Satisfeito,Satisfeito
183,Insatisfeito,Muito insatisfeito,Insatisfeito,Neutro,Insatisfeito,Neutro,Muito insatisfeito,Neutro,Neutro,Neutro,Neutro,Neutro
184,Neutro,Neutro,Satisfeito,Insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito
185,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Neutro,Neutro,Insatisfeito,Satisfeito,Neutro,Neutro,Neutro,Neutro
186,Insatisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Neutro,Neutro,Satisfeito,Satisfeito,Neutro,Neutro,Satisfeito,Satisfeito
187,Muito insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Neutro,Insatisfeito,Neutro,Insatisfeito,Insatisfeito,Neutro,Insatisfeito
188,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Insatisfeito,Satisfeito
189,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Neutro,Muito insatisfeito
190,Muito insatisfeito,Neutro,Insatisfeito,Insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Neutro,Satisfeito,Satisfeito,Neutro
191,Insatisfeito,Insatisfeito,Neutro,Neutro,Insatisfeito,Satisfeito,Neutro,Satisfeito,Insatisfeito,Neutro,Neutro,Neutro
192,Insatisfeito,Muito insatisfeito,Insatisfeito,Neutro,Insatisfeito,Neutro,Insatisfeito,Muito insatisfeito,Neutro,Muito insatisfeito,Neutro,Insatisfeito
193,Muito insatisfeito,Muito insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Neutro,Muito insatisfeito,Satisfeito,Satisfeito
194,Insatisfeito,Insatisfeito,Neutro,Neutro,Neutro,Neutro,Muito insatisfeito,Insatisfeito,Insatisfeito,Neutro,Neutro,Neutro
195,Neutro,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Satisfeito,Muito insatisfeito,Muito satisfeito,Insatisfeito,Satisfeito,Satisfeito,Satisfeito
196,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
197,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Neutro,Neutro
198,Insatisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Neutro,Neutro,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Neutro,Neutro
199,Neutro,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Neutro,Insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
200,Muito insatisfeito,Insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Neutro,Muito insatisfeito,Satisfeito,Muito insatisfeito,Neutro,Insatisfeito,Muito insatisfeito
201,Muito insatisfeito,Neutro,Satisfeito,Insatisfeito,Neutro,Insatisfeito,Neutro,Satisfeito,Insatisfeito,Insatisfeito,Neutro,Satisfeito
202,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Neutro,Muito insatisfeito,Satisfeito,Insatisfeito,Insatisfeito,Satisfeito
203,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
204,Neutro,Insatisfeito,Neutro,Insatisfeito,Insatisfeito,Neutro,Satisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Neutro,Neutro
205,Insatisfeito,Neutro,Neutro,Satisfeito,Insatisfeito,Neutro,Insatisfeito,Satisfeito,Insatisfeito,Insatisfeito,Neutro,Neutro
206,Muito insatisfeito,Satisfeito,Muito satisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Insatisfeito,Satisfeito,Satisfeito
207,Satisfeito,Insatisfeito,Satisfeito,Insatisfeito,Satisfeito,Insatisfeito,Insatisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito
208,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
209,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
210,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito
211,Satisfeito,Insatisfeito,Satisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Muito satisfeito,Neutro,Satisfeito,Satisfeito,Satisfeito,Satisfeito
212,Insatisfeito,Insatisfeito,Neutro,Muito insatisfeito,Insatisfeito,Insatisfeito,Neutro,Satisfeito,Neutro,Muito insatisfeito,Insatisfeito,Satisfeito
213,Muito insatisfeito,Insatisfeito,Satisfeito,Insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Satisfeito,Satisfeito,Satisfeito,Insatisfeito
214,Neutro,Satisfeito,Muito insatisfeito,Insatisfeito,Satisfeito,Muito insatisfeito,Neutro,Satisfeito,Satisfeito,Muito insatisfeito,Muito satisfeito,Neutro
215,Insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Neutro,Neutro,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Neutro,Neutro
216,Satisfeito,Satisfeito,Muito insatisfeito,Neutro,Satisfeito,Neutro,Satisfeito,Satisfeito,Insatisfeito,Satisfeito,Satisfeito,Neutro
217,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Satisfeito
218,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito
219,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Satisfeito,Insatisfeito
220,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
221,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
222,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
223,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
224,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
225,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Insatisfeito
226,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
227,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Muito insatisfeito,Muito satisfeito,Insatisfeito
228,Muito insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Insatisfeito,Muito satisfeito,Muito satisfeito
229,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
230,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
231,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
232,Muito insatisfeito,Neutro,Neutro,Muito insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Neutro,Neutro,Neutro,Neutro,Neutro
233,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
234,Muito insatisfeito,Satisfeito,Muito satisfeito,Muito insatisfeito,Insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Insatisfeito,Muito satisfeito,Muito satisfeito
235,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
